status,suite,datacenter,cron,name,host,desk
up,helen,chicago_6,No cron,1,ch6pswtr056,crude
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",vmm_14,ny4psltr040.concord.global,volatility
down,linux_script,chicago_7,"{""cme_settles"": {""daymonth"": ""*"", ""minute"": ""20"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",3,e7ch7ftp02.concord.global,house
down,hydra,new_york_4,No cron,3,e7ny4026,equities
down,windows_script,chicago_7,No cron,1,tsb.concord.global,house
up,sapphire,tokyo_1,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""59"", ""month"": ""*"", ""dayweek"": ""2-6"", ""hour"": ""05""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""07""}}",fireball_8,tk1psltr012.concord.global,cpcv
up,feeder,chicago_7,No cron,8,ch7pswss137,house
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",equities_14,ch6psltr095.concord.global,equities
up,order-router,chicago_7,No cron,1,e7ch70108,crude
down,linux_script,chicago_7,"{""nymex_settles"": {""daymonth"": ""*"", ""minute"": ""20"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",4,e7ch7ftp02.concord.global,house
up,sapphire,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",vmm_12,ny4psltr032.concord.global,volatility
up,hydra,chicago_6,No cron,2,e7ch6058,equities
down,linux_script,chicago_7,Cron disabled,35,e7ch7ftp02.concord.global,house
up,position-bridge,chicago_7,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}}",1,ch7pslss132.concord.global,house
down,ccs2_admin_proxy,chicago_7,No cron,default,ch7pslwb056.concord.global,house
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""58"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",tmm_02,ch6psltr084.concord.global,cpcv
up,pricefeeder,new_york_4,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""45"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",basic_lime_01,e7ny4017.concord.global,ssvcs
down,downloader,new_york_4,No cron,1,e7ny4013,house
down,optionscity,chicago_6,No cron,metro,ch6psltr010.concord.global,nat-gas-options
down,sapphire,new_york_4,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}}",click_vmm2,ny4pslss046.concord.global,volatility
up,pricefeeder,chicago_0,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",mpf_all_01,ch0pslss010.concord.global,ssvcs
down,tsdb,chicago_7,No cron,5,tsb.concord.global,house
up,ccs2-service,chicago_7,"{""start_sunday"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""13""}, ""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""17""}}",1,ch7pslss132.concord.global,house
up,controller,chicago_7,No cron,1,ch7pswss137,house
down,ccs2-downloader,new_york_4,"{""start"": {""daymonth"": ""*"", ""minute"": ""16"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}}",1,e7ny4017.concord.global,house
down,tsdb,chicago_7,No cron,6,tsb.concord.global,house
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}}",bgls_05,ch6psltr063.concord.global,bgls
down,downloader,chicago_7,No cron,2,ch7pswss137,house
up,capture-service,chicago_7,No cron,3,e7ch7097,house
up,ccs2-webadmin,chicago_7,"{""start"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""09""}, ""stop"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""6"", ""hour"": ""06""}}",ui,ch7pslwb056.concord.global,ssvcs
down,windows_script,chicago_7,No cron,18,tsb.concord.global,house
up,hydra,chicago_6,No cron,1,e7ch6045,metals
up,sapphire,chicago_5,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""17""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""16""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""18""}}",bgls_09,ch5psltr018.concord.global,bgls
up,order-router,chicago_7,No cron,5,e7ch7086,nat-gas
up,drop,chicago_6,No cron,3,e7ch6030,house
down,windows_script,chicago_7,No cron,32,tsb.concord.global,house
